"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","Удалить задание Delete /todos/{id} (200)","chromium","Fri Nov 14 14:38:30 UTC 2025","passed","Fri Nov 14 14:38:30 UTC 2025","API challenge","","",""
"","8501","Открытие фаворитной табы","chromium","Fri Nov 14 14:39:14 UTC 2025","passed","Fri Nov 14 14:39:22 UTC 2025","Регистрация","","",""
"","2588","Пользователь может зарегистрироваться с навигацией через клавиатуру","chromium","Fri Nov 14 14:38:31 UTC 2025","passed","Fri Nov 14 14:38:34 UTC 2025","Регистрация","","",""
"","23","Создать todo POST /todos (413) content too long","chromium","Fri Nov 14 14:38:30 UTC 2025","passed","Fri Nov 14 14:38:30 UTC 2025","API challenge","","",""
"","24","Отредактировать todo с POST /todos/{id} (404)","chromium","Fri Nov 14 14:38:30 UTC 2025","passed","Fri Nov 14 14:38:30 UTC 2025","API challenge","","",""
"","24","Получить /todos/{id} (404)","chromium","Fri Nov 14 14:38:30 UTC 2025","passed","Fri Nov 14 14:38:30 UTC 2025","API challenge","","",""
"","23","Создать todo POST /todos (400) extra","chromium","Fri Nov 14 14:38:30 UTC 2025","passed","Fri Nov 14 14:38:30 UTC 2025","API challenge","","",""
"","26","Получить список todo get /todos(200)","chromium","Fri Nov 14 14:38:30 UTC 2025","passed","Fri Nov 14 14:38:30 UTC 2025","API challenge","","",""
"","30","Создать todo POST /todos (201) max out content","chromium","Fri Nov 14 14:38:30 UTC 2025","passed","Fri Nov 14 14:38:30 UTC 2025","API challenge","","",""
"","27","Создать todo POST /todos (400) doneStatus","chromium","Fri Nov 14 14:38:30 UTC 2025","passed","Fri Nov 14 14:38:30 UTC 2025","API challenge","","",""
"","26","Отредактировать задание PUT /todos/{id} full (200)","chromium","Fri Nov 14 14:38:30 UTC 2025","passed","Fri Nov 14 14:38:30 UTC 2025","API challenge","","",""
"","70","Получить список заданий get /challenges","chromium","Fri Nov 14 14:38:29 UTC 2025","passed","Fri Nov 14 14:38:29 UTC 2025","API challenge","","",""
"","23","Создать todo POST /todos (400) title too long","chromium","Fri Nov 14 14:38:30 UTC 2025","passed","Fri Nov 14 14:38:30 UTC 2025","API challenge","","",""
"","28","Создать todo POST /todos (201)","chromium","Fri Nov 14 14:38:30 UTC 2025","passed","Fri Nov 14 14:38:30 UTC 2025","API challenge","","",""
"","10451","Создание статьи","chromium","Fri Nov 14 14:38:35 UTC 2025","passed","Fri Nov 14 14:38:45 UTC 2025","Регистрация","","",""
"","23","Получить todos/{id} (200)","chromium","Fri Nov 14 14:38:30 UTC 2025","passed","Fri Nov 14 14:38:30 UTC 2025","API challenge","","",""
"","23","Отредактировать задание PUT /todos/{id}","chromium","Fri Nov 14 14:38:30 UTC 2025","passed","Fri Nov 14 14:38:30 UTC 2025","API challenge","","",""
"","25","Отредактировать todo с POST /todos/{id} (200)","chromium","Fri Nov 14 14:38:30 UTC 2025","passed","Fri Nov 14 14:38:30 UTC 2025","API challenge","","",""
"","11613","Открытие моей табы","chromium","Fri Nov 14 14:39:02 UTC 2025","passed","Fri Nov 14 14:39:14 UTC 2025","Регистрация","","",""
"","24","Получить список todo GET /todos (200) ?filter","chromium","Fri Nov 14 14:38:30 UTC 2025","passed","Fri Nov 14 14:38:30 UTC 2025","API challenge","","",""
"","12817","Обновление статьи","chromium","Fri Nov 14 14:38:45 UTC 2025","passed","Fri Nov 14 14:38:58 UTC 2025","Регистрация","","",""
"","4446","Добавление комментария","chromium","Fri Nov 14 14:38:58 UTC 2025","passed","Fri Nov 14 14:39:02 UTC 2025","Регистрация","","",""
"","24","Создать todo POST /todos (400) description too long","chromium","Fri Nov 14 14:38:30 UTC 2025","passed","Fri Nov 14 14:38:30 UTC 2025","API challenge","","",""
"","22","Получить список todo GET /todo not plural","chromium","Fri Nov 14 14:38:30 UTC 2025","passed","Fri Nov 14 14:38:30 UTC 2025","API challenge","","",""
